month	category	country	had	lost	captured	provided
2023-12	Air Defense System	ua		-1	0	7
2023-12	Warplane	ru		-5	0	
2023-12	Warplane	ua		0	0	
2023-12	Helicopter	ru		-2	0	
2023-12	Helicopter	ua		0	0	
2023-12	Tank	ru		-98	0	
2023-12	Tank	ua		-29	0	
2023-12	Infantry Fighting Vehicle	ru		-143	1	
2023-12	Infantry Fighting Vehicle	ua		-30	0	
2024-01	Towed Artillery	ru		-4	0	
2024-01	Towed Artillery	ua		-6	0	
2024-01	Self-Propelled Artillery	ru		-22	0	
2024-01	Self-Propelled Artillery	ua		-14	0	
2024-01	Multiple Launch Rocket System	ru		-18	0	
2024-01	Multiple Launch Rocket System	ua		0	1	
2024-01	Air Defense System	ru		-11	0	
2024-01	Air Defense System	ua		-6	0	
2024-01	Warplane	ru		-3	0	
2024-01	Warplane	ua		-2	0	
2024-01	Helicopter	ru		-1	0	
2024-01	Helicopter	ua		-1	0	
2024-01	Tank	ru		-70	0	
2024-01	Tank	ua		-14	0	
2024-01	Infantry Fighting Vehicle	ru		-132	0	
2024-01	Infantry Fighting Vehicle	ua		-21	3	
2024-02	Towed Artillery	ru		-7	0	
2024-02	Towed Artillery	ua		-3	1	
2024-02	Self-Propelled Artillery	ru		-19	1	
2024-02	Self-Propelled Artillery	ua		-15	0	
2024-02	Multiple Launch Rocket System	ru		-7	0	
2024-02	Multiple Launch Rocket System	ua		-4	0	
2024-02	Air Defense System	ru		-7	0	
2024-02	Air Defense System	ua		-4	0	
2024-02	Warplane	ru		-3	0	
2024-02	Warplane	ua		-1	0	
2024-02	Helicopter	ru		0	0	
2024-02	Helicopter	ua		-1	0	
2024-02	Tank	ru		-86	1	
2024-02	Tank	ua		-13	0	
2024-02	Infantry Fighting Vehicle	ru		-170	4	
2024-02	Infantry Fighting Vehicle	ua		-31	0	
